date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-06-29,27.13,31.16,23.77,66.35,6.11,1.4,2.33,0.67,196.4,0.4,0.29,0.29
2014-06-30,28.57,35.65,22.19,60.87,4.56,1.18,2.11,0.45,193.2,0.37,0.29,0.29
2014-07-01,29.19,36.82,22.36,56.0,2.71,1.5,2.19,0.98,154.0,0.35,0.29,0.29
2014-07-02,29.05,34.68,23.64,61.25,6.45,0.98,1.66,0.05,129.9,0.36,0.29,0.29
2014-07-03,30.21,37.67,24.14,57.36,4.04,1.0,1.89,0.2,175.0,0.38,0.3,0.3
2014-07-04,29.59,36.36,24.5,61.17,2.16,1.98,2.36,1.64,250.0,0.34,0.3,0.3
2014-07-05,27.8,33.03,23.66,64.56,3.76,1.97,2.59,1.37,249.0,0.35,0.3,0.3
2014-07-06,26.48,31.53,22.66,68.94,5.4,1.34,2.55,0.29,229.3,0.38,0.3,0.3
2014-07-07,27.73,34.89,21.77,60.27,3.28,1.18,1.93,0.61,221.2,0.37,0.31,0.3
2014-07-08,27.13,32.83,22.17,68.27,10.78,1.28,2.36,0.48,263.6,0.42,0.31,0.31
2014-07-09,26.53,31.18,22.88,73.16,11.95,1.2,1.89,0.51,241.4,0.47,0.33,0.32
2014-07-10,28.77,36.06,21.9,61.72,0.61,0.7,1.23,0.13,188.3,0.39,0.33,0.32
2014-07-11,28.95,34.47,23.11,59.02,0.5,0.87,1.74,0.39,238.0,0.33,0.32,0.32
2014-07-12,29.85,36.08,23.92,55.88,0.38,0.79,1.94,0.14,243.5,0.31,0.32,0.32
2014-07-13,29.17,35.01,24.07,56.04,0.11,0.84,1.53,0.19,203.9,0.29,0.32,0.32
2014-07-14,30.52,38.39,22.87,50.62,0.66,1.04,1.57,0.02,139.0,0.28,0.31,0.32
2014-07-15,31.0,38.01,24.81,54.03,8.3,1.14,1.69,0.42,251.0,0.36,0.32,0.32
2014-07-16,26.81,30.96,23.63,78.86,16.03,1.0,1.74,0.18,234.6,0.5,0.33,0.33
2014-07-17,27.26,33.38,22.47,65.77,4.59,1.01,1.61,0.51,150.6,0.45,0.35,0.34
2014-07-18,26.62,32.34,22.54,71.64,7.24,1.3,2.49,0.56,261.0,0.44,0.35,0.34
2014-07-19,27.08,32.53,22.39,71.29,2.81,1.21,2.03,0.62,248.6,0.42,0.35,0.34
2014-07-20,28.43,34.49,22.67,63.82,0.52,0.77,1.61,0.34,234.3,0.37,0.34,0.34
2014-07-21,29.29,35.92,23.14,59.41,1.29,0.7,1.42,0.07,247.9,0.35,0.34,0.34
2014-07-22,27.73,33.07,23.81,67.37,1.59,0.84,1.36,0.42,253.5,0.35,0.34,0.34
2014-07-23,27.06,33.04,22.77,66.79,1.23,0.98,1.75,0.44,264.9,0.35,0.34,0.34
2014-07-24,27.04,32.74,22.97,67.29,1.46,1.0,1.72,0.54,247.7,0.35,0.33,0.34
2014-07-25,27.27,32.8,22.91,65.79,2.38,0.99,1.85,0.36,246.5,0.36,0.33,0.34
2014-07-26,29.02,35.95,22.62,58.97,0.45,0.92,1.73,0.45,250.4,0.34,0.33,0.34
2014-07-27,30.08,37.83,23.09,52.77,1.05,1.09,1.46,0.54,175.1,0.32,0.33,0.34
2014-07-28,28.45,33.7,23.29,61.53,1.18,0.67,1.18,0.31,186.6,0.32,0.33,0.33
2014-07-29,28.22,34.76,23.45,60.8,1.63,0.91,1.45,0.31,169.3,0.33,0.33,0.33
2014-07-30,26.92,33.31,21.86,68.57,10.54,0.81,1.47,0.37,247.0,0.43,0.33,0.34
2014-07-31,26.75,32.68,22.03,73.47,11.35,0.88,1.65,0.3,254.7,0.49,0.35,0.35
2014-08-01,24.08,26.31,22.5,88.32,8.9,0.6,1.04,0.13,258.2,0.51,0.36,0.36
2014-08-02,25.35,29.89,22.15,77.29,6.68,1.04,1.9,0.42,217.1,0.47,0.37,0.36
2014-08-03,25.18,30.1,21.79,83.89,15.49,0.86,1.44,0.44,253.1,0.55,0.38,0.37
2014-08-04,26.21,31.49,22.09,74.85,2.34,0.97,1.78,0.42,258.1,0.47,0.39,0.38
2014-08-05,25.91,30.59,22.09,75.94,3.81,0.91,1.59,0.17,235.7,0.45,0.38,0.38
2014-08-06,26.22,32.05,22.02,72.08,1.59,0.98,1.95,0.3,240.1,0.44,0.38,0.38
2014-08-07,26.34,32.32,21.76,70.8,3.68,1.34,1.9,0.94,243.7,0.42,0.37,0.38
2014-08-08,26.03,32.13,21.34,74.53,5.41,1.16,1.96,0.28,245.5,0.44,0.37,0.38
2014-08-09,24.6,28.75,21.83,78.51,2.73,1.28,2.06,0.46,244.9,0.45,0.37,0.38
2014-08-10,26.58,33.21,20.46,68.71,1.83,0.8,1.06,0.48,264.5,0.43,0.37,0.38
2014-08-11,27.12,32.27,22.56,68.97,2.82,1.01,1.69,0.51,273.6,0.42,0.37,0.38
2014-08-12,24.73,27.89,22.35,81.77,3.42,1.44,1.98,0.87,253.9,0.44,0.37,0.38
2014-08-13,26.17,32.47,20.67,70.1,1.08,1.24,1.84,0.65,248.8,0.42,0.37,0.38
2014-08-14,26.19,32.27,21.3,71.75,1.47,0.99,1.55,0.35,274.9,0.39,0.36,0.37
2014-08-15,24.46,27.75,21.42,83.99,21.8,0.63,1.18,0.22,112.2,0.53,0.38,0.38
2014-08-16,24.62,29.44,21.11,82.16,10.73,0.65,1.09,0.33,154.2,0.58,0.41,0.4
2014-08-17,26.03,31.11,21.45,76.85,7.17,0.32,0.68,0.01,104.3,0.54,0.41,0.4
2014-08-18,25.85,31.91,21.8,74.55,5.4,0.47,0.63,0.28,43.1,0.53,0.41,0.41
2014-08-19,26.23,32.95,20.86,72.56,4.31,0.64,1.1,0.34,151.6,0.49,0.41,0.41
2014-08-20,25.9,31.49,20.98,71.02,6.04,0.59,0.99,0.36,161.7,0.5,0.4,0.41
2014-08-21,25.26,30.62,20.54,79.41,11.4,0.76,1.51,0.33,260.8,0.55,0.41,0.41
2014-08-22,24.22,27.98,21.4,84.82,23.21,0.37,0.65,0.1,315.9,0.65,0.44,0.43
2014-08-23,24.85,29.97,20.7,79.1,5.36,0.72,1.41,0.23,187.8,0.57,0.45,0.44
2014-08-24,26.09,31.84,20.67,73.88,1.12,0.47,0.87,0.25,309.1,0.51,0.44,0.44
2014-08-25,26.77,33.77,21.35,72.49,1.52,1.03,1.65,0.52,228.9,0.49,0.43,0.43
2014-08-26,25.88,31.49,22.51,74.91,1.12,0.81,1.36,0.41,156.8,0.48,0.42,0.43
2014-08-27,26.27,31.96,20.74,70.97,0.9,0.55,1.06,0.14,324.6,0.47,0.42,0.43
2014-08-28,28.0,35.04,21.24,64.11,1.93,0.68,1.27,0.32,259.1,0.46,0.41,0.42
2014-08-29,27.19,35.18,21.94,71.29,6.8,0.73,1.18,0.42,174.5,0.49,0.41,0.42
2014-08-30,26.86,33.38,22.12,77.0,12.06,0.64,1.03,0.39,147.1,0.57,0.42,0.43
2014-08-31,26.29,31.8,22.21,77.04,10.16,0.37,0.69,0.09,99.7,0.57,0.43,0.43
2014-09-01,24.77,28.73,21.4,80.15,20.1,0.71,1.19,0.19,162.5,0.63,0.45,0.44
2014-09-02,25.47,30.95,20.76,79.09,32.74,0.72,1.41,0.3,233.5,0.69,0.48,0.47
2014-09-03,25.59,29.78,22.04,79.82,0.53,0.6,0.99,0.12,252.0,0.58,0.49,0.48
2014-09-04,25.41,30.18,21.33,79.83,0.1,0.66,1.26,0.23,285.1,0.54,0.48,0.48
2014-09-05,25.89,31.3,21.31,78.31,0.07,0.61,0.96,0.34,154.7,0.52,0.47,0.47
2014-09-06,25.58,31.24,21.16,71.41,0.05,0.88,1.44,0.36,220.2,0.51,0.46,0.47
