date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-03-24,32.48,39.52,26.44,31.58,0.0,1.18,2.2,0.54,297.8,0.15,0.21,0.22
2014-03-25,31.46,40.99,22.81,16.48,0.0,0.95,1.47,0.33,342.7,0.15,0.21,0.22
2014-03-26,30.9,38.88,21.65,14.26,0.0,0.84,1.6,0.08,286.3,0.14,0.21,0.22
2014-03-27,29.44,38.23,22.78,23.82,0.0,1.05,1.92,0.52,265.6,0.14,0.21,0.22
2014-03-28,31.76,41.22,24.06,35.82,0.0,0.98,1.75,0.17,217.1,0.14,0.21,0.22
2014-03-29,32.26,40.26,24.24,36.11,0.0,1.43,2.35,0.56,250.8,0.15,0.21,0.22
2014-03-30,32.13,41.03,23.56,20.87,0.0,1.01,1.77,0.54,331.9,0.15,0.21,0.22
2014-03-31,31.96,41.37,23.0,18.19,0.0,0.91,1.46,0.29,315.1,0.14,0.21,0.22
2014-04-01,30.4,40.68,21.54,12.25,0.0,1.11,1.96,0.18,25.1,0.14,0.21,0.22
2014-04-02,30.29,39.83,21.32,10.81,0.0,1.24,2.07,0.63,49.3,0.13,0.21,0.22
2014-04-03,30.49,40.73,21.33,11.9,0.0,1.2,2.08,0.61,52.8,0.13,0.21,0.22
2014-04-04,30.35,40.67,21.4,10.99,0.0,1.45,2.46,0.8,47.1,0.12,0.21,0.22
2014-04-05,30.32,40.8,20.74,12.7,0.0,1.17,1.88,0.59,46.8,0.12,0.21,0.22
2014-04-06,30.98,39.26,22.23,24.37,0.08,0.9,2.01,0.37,199.3,0.13,0.21,0.22
2014-04-07,32.21,40.41,26.28,37.26,0.01,1.16,2.16,0.34,260.2,0.14,0.21,0.22
2014-04-08,32.2,39.37,26.14,38.57,0.65,1.07,1.61,0.16,308.0,0.14,0.21,0.22
2014-04-09,32.54,39.75,26.62,33.04,0.55,1.11,1.86,0.47,0.9,0.17,0.21,0.22
2014-04-10,31.13,39.97,23.99,23.9,0.01,1.16,1.92,0.53,75.3,0.17,0.21,0.22
2014-04-11,30.28,39.95,21.94,20.07,0.81,0.88,1.68,0.5,88.3,0.17,0.21,0.22
2014-04-12,31.13,40.55,23.32,20.91,0.42,0.99,1.76,0.49,80.6,0.17,0.21,0.22
2014-04-13,31.27,40.97,22.87,16.86,0.16,1.5,2.6,0.81,88.4,0.15,0.21,0.22
2014-04-14,32.03,41.7,22.16,17.1,0.18,0.92,1.44,0.55,62.5,0.15,0.21,0.22
2014-04-15,32.15,40.36,23.97,39.77,0.61,1.22,2.07,0.51,270.8,0.16,0.21,0.22
2014-04-16,34.63,41.08,26.08,27.93,2.23,0.84,1.14,0.32,3.8,0.2,0.21,0.22
2014-04-17,32.53,39.1,26.59,38.89,3.23,1.3,2.12,0.17,225.8,0.25,0.22,0.22
